"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1250","90","GO Biological Process","","Positive regulation of transcription by RNA polymerase II","1.74E-70","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27804|27838|27864|27894|27656|27710|27828|27668|27790|27728|27690|27910|27784|27732|27878|27702|27912|27768|27832|27888|27762|27792|27722|27770|27782|27692|27808|27900|27884|27824|27870|27772|27892|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27742|27752|27830|27672|27898|27720|27756|27862|27682|27766|27780|27834|27842|27706|27816|27812|27734|27778|27886|27866|27858|27760|27874|27664|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","1.11E-74","","GO:0045944","6.975945075171739","0"
"1285","85","GO Cellular Component","","Chromatin","3.69E-63","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|FOXM1|E2F1|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|ATRX|NR5A1|TFDP1|SP2|KLF5|GATA3|E2F4|SRY|ETS1|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27860|27864|27656|27710|27828|27668|27790|27810|27728|27690|27910|27882|27890|27784|27732|27878|27702|27912|27768|27888|27896|27762|27792|27722|27770|27782|27808|27900|27824|27870|27892|27854|27848|27712|27740|27738|27714|27700|27686|27764|27742|27830|27672|27898|27720|27682|27766|27736|27780|27834|27842|27706|27816|27788|27812|27778|27886|27866|27858|27874|27800|27818|27820|27786|27662|27708|27758|27794|27826|27876","1.8E-66","","GO:0000785","6.243297363384094","0"
"1931","95","GO Molecular Function","","Transcription regulator activity","8.69E-62","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|MTF1|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|EWSR1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27864|27656|27710|27828|27668|27790|27810|27728|27690|27910|27882|27784|27732|27878|27702|27912|27768|27832|27888|27896|27762|27792|27722|27770|27782|27692|27808|27900|27884|27824|27870|27892|27684|27854|27848|27712|27740|27738|27836|27700|27686|27764|27840|27742|27752|27830|27672|27898|27852|27720|27756|27862|27682|27766|27736|27780|27834|27842|27706|27816|27788|27812|27872|27734|27778|27886|27866|27858|27760|27874|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","1.76E-65","","GO:0140110","6.106098022355133","0"
"2299","99","UniProt Keywords","","Transcription regulation","3.09E-61","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|HIPK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27860|27864|27656|27710|27828|27668|27790|27810|27728|27690|27910|27784|27732|27878|27702|27768|27832|27888|27896|27762|27792|27722|27770|27782|27692|27730|27808|27900|27884|27824|27870|27892|27684|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27764|27840|27742|27752|27830|27672|27898|27852|27720|27756|27862|27682|27766|27736|27780|27834|27842|27706|27816|27678|27788|27812|27872|27814|27778|27886|27866|27858|27760|27874|27800|27844|27818|27696|27820|27786|27662|27758|27794|27876","4.6E-64","","KW-0805","6.051004152057517","0"
"1710","91","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.07E-60","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27864|27894|27656|27710|27828|27668|27790|27728|27690|27910|27784|27732|27878|27702|27912|27768|27832|27888|27762|27792|27722|27770|27782|27692|27808|27900|27884|27824|27870|27772|27892|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27742|27752|27830|27672|27898|27720|27756|27862|27682|27766|27780|27834|27842|27706|27816|27812|27734|27778|27886|27866|27858|27760|27874|27664|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","1.36E-64","","GO:0045893","5.997061622231479","0"
"1218","81","GO Molecular Function","","Cis-regulatory region sequence-specific DNA binding","2.52E-59","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27698|27804|27838|27864|27656|27710|27828|27668|27810|27728|27690|27910|27882|27784|27732|27878|27702|27912|27768|27832|27888|27896|27762|27792|27722|27770|27782|27692|27900|27884|27824|27870|27892|27854|27848|27712|27740|27836|27700|27686|27764|27742|27752|27830|27672|27898|27720|27862|27682|27766|27780|27834|27842|27706|27816|27788|27812|27778|27886|27866|27858|27760|27874|27800|27818|27820|27786|27662|27708|27794|27876","1.02E-62","","GO:0000987","5.859859945921846","0"
"1196","80","GO Molecular Function","","RNA polymerase II cis-regulatory region sequence-specific DNA binding","1.01E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27698|27804|27838|27864|27656|27710|27828|27668|27810|27728|27690|27910|27882|27784|27732|27878|27702|27912|27768|27832|27888|27896|27762|27792|27722|27770|27782|27692|27900|27884|27824|27870|27892|27854|27848|27712|27740|27836|27700|27764|27742|27752|27830|27672|27898|27720|27862|27682|27766|27780|27834|27842|27706|27816|27788|27812|27778|27886|27866|27858|27760|27874|27800|27818|27820|27786|27662|27708|27794|27876","6.12E-62","","GO:0000978","5.7995678626217355","0"
"2586","101","GO Biological Process","","Regulation of transcription by RNA polymerase II","1.77E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27864|27894|27656|27710|27828|27668|27790|27810|27728|27690|27910|27882|27890|27784|27732|27878|27702|27912|27768|27832|27888|27896|27762|27792|27722|27770|27782|27692|27730|27808|27900|27884|27824|27870|27772|27892|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27764|27742|27752|27830|27672|27898|27852|27720|27756|27862|27682|27766|27736|27780|27834|27842|27706|27816|27678|27788|27812|27734|27778|27886|27866|27858|27760|27874|27664|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","5.63E-62","","GO:0006357","5.77520267336382","0"
"1935","92","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","5.28E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27864|27894|27656|27710|27828|27668|27790|27728|27690|27910|27784|27732|27878|27702|27912|27768|27832|27888|27762|27792|27722|27770|27782|27692|27808|27900|27884|27824|27870|27772|27892|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27742|27752|27830|27672|27898|27720|27756|27862|27682|27766|27780|27834|27842|27706|27816|27812|27734|27658|27778|27886|27866|27858|27760|27874|27664|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","2.36E-61","","GO:0010557","5.727736607746619","0"
"2041","93","GO Biological Process","","Positive regulation of cellular biosynthetic process","2.2E-57","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","27629","27660|27666|27744|27704|27750|27716|27776|27746|27694|27754|27880|27698|27676|27804|27838|27864|27894|27656|27710|27828|27668|27790|27728|27690|27910|27784|27732|27878|27702|27912|27768|27832|27888|27762|27792|27908|27722|27770|27782|27692|27808|27900|27884|27824|27870|27772|27892|27854|27848|27712|27740|27738|27748|27836|27680|27714|27700|27686|27742|27752|27830|27672|27898|27720|27756|27862|27682|27766|27780|27834|27842|27706|27816|27812|27734|27658|27778|27886|27866|27858|27760|27874|27664|27800|27844|27818|27820|27786|27662|27708|27758|27794|27876","1.12E-60","","GO:0031328","5.66575773191778","0"
