"ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","hgnc_symbol"
"ENSG00000000003",1670.46921006754,0.897805166017162,0.338226728088676,2.65444771644947,0.00794383489483694,0.0675093789107815,7105,"TSPAN6"
"ENSG00000000005",22.0226977032318,-1.45103428861772,1.78110928300629,-0.814680099902999,0.415255447217558,0.692318327619937,64102,"TNMD"
"ENSG00000000419",750.300755604858,0.180843399155653,0.178914936885403,1.01077865439198,0.312122381705913,0.602462452320287,8813,"DPM1"
"ENSG00000000457",493.707896429168,0.0307906778995513,0.159696121968176,0.192807924951911,0.847109396733307,0.937155194414982,57147,"SCYL3"
"ENSG00000000460",725.158564596896,0.284194687342914,0.266935316548477,1.06465750211551,0.287030948180621,0.577795080434534,55732,"C1orf112"
"ENSG00000000971",21.7611743345418,3.7214642451934,0.974859251063119,3.81743748252377,0.00013484494112278,0.00419312351162618,3075,"CFH"
"ENSG00000001036",752.151808480091,0.772678567742477,0.434223477875243,1.77944907890143,0.0751661662112767,0.277792735267411,2519,"FUCA2"
"ENSG00000001084",639.888238955174,0.35790981272147,0.248907964739193,1.43792028951942,0.150456672120775,0.41242852695927,2729,"GCLC"
"ENSG00000001167",773.576785329049,0.275059975305876,0.184235875382411,1.49297727565245,0.135443135394965,0.389897598438655,4800,"NFYA"
"ENSG00000001460",58.5999231709279,-0.74552744933955,0.846930957731815,-0.880269451167736,0.37871335763272,0.662881850739935,90529,"STPG1"
"ENSG00000001461",131.977191934875,0.334825527425516,0.481323378503393,0.695635288829327,0.486657260537745,0.742479812995837,57185,"NIPAL3"
"ENSG00000001497",752.065793863845,0.158263153491945,0.153728887368071,1.02949521200279,0.303247028560748,0.594333921095172,81887,"LAS1L"
"ENSG00000001561",163.676892490434,-0.792541895734862,0.441811910355788,-1.79384456860077,0.0728379810094135,0.272778083091663,22875,"ENPP4"
"ENSG00000001617",79.4004717380811,-1.16948264538493,0.985728927669808,-1.18641404604967,0.235458827429748,0.522069948348401,6405,"SEMA3F"
"ENSG00000001626",10.1105303475539,-6.68514813208499,1.49797158664392,-4.46280035729015,8.0895417719138e-06,0.000516087542405294,1080,"CFTR"
"ENSG00000001629",2146.47144711349,0.144208669994978,0.213642280686587,0.675000610981735,0.499675376765939,0.751285991405893,54467,"ANKIB1"
"ENSG00000001630",62.2901984474351,-0.883323084685644,0.448889845315323,-1.96779475834467,0.049091657542298,0.214808859196648,1595,"CYP51A1"
"ENSG00000001631",1211.6252738595,-0.0509948219489684,0.162786435429661,-0.313262108199444,0.754081535608314,0.895378691879452,889,"KRIT1"
"ENSG00000002016",368.878960858592,0.406958236508683,0.171136638690131,2.37797259326534,0.0174081197247065,0.111909341087399,5893,"RAD52"
"ENSG00000002330",139.466815635763,-0.0581462721736835,0.569523341196079,-0.102096381250272,0.918680173350346,0.967623295927561,572,"BAD"
"ENSG00000002549",840.636462331073,0.503490956357504,0.249922291038043,2.01459003223072,0.0439476227510252,0.200866163568,51056,"LAP3"
"ENSG00000002586",1775.43904594183,1.45748556591435,0.406383441947065,3.5864787180581,0.000335173404922073,0.00776819318616996,4267,"CD99"
"ENSG00000002587",31.8752228430616,-1.18977015531376,0.813453529124503,-1.46261601027692,0.143572479845872,0.403353377784814,9957,"HS3ST1"
"ENSG00000002746",700.205458774958,0.24695597800401,0.668393392832973,0.369476988629842,0.711772222103139,0.875888838547592,23072,"HECW1"
"ENSG00000002822",476.679503942843,-0.234863099686026,0.431612586061522,-0.544152574022827,0.586336484536999,0.80741806275889,8379,"MAD1L1"
"ENSG00000002834",2948.69250780402,-0.253153804512508,0.328481004007392,-0.77068019588375,0.440896513297797,0.711011212606724,3927,"LASP1"
"ENSG00000002919",349.257701395396,0.551383303194954,0.156287912834436,3.52799709968015,0.000418716744431521,0.00902361085309701,29916,"SNX11"
"ENSG00000003056",1459.61307366988,0.378112002626111,0.263801499620005,1.43332014098011,0.151766368679443,0.413993445261973,4074,"M6PR"
"ENSG00000003096",918.11275255958,-0.0190073062181425,0.33592594587897,-0.0565818343337809,0.954878305460845,0.983423087188842,90293,"KLHL13"
"ENSG00000003137",206.23849800279,2.86337629463674,1.09314093957857,2.61940266891901,0.00880839048877879,0.072039798913431,56603,"CYP26B1"
"ENSG00000003147",183.459021764978,-0.165667104959036,0.569338871766919,-0.290981545744269,0.771065433487516,0.903810208292749,3382,"ICA1"
"ENSG00000003249",171.745150782085,-0.00954298333328869,0.577332092757713,-0.0165294523775825,0.986812005695581,0.995047853034125,79007,"DBNDD1"
"ENSG00000003393",2177.81807269125,0.214225918663972,0.227716234963731,0.940758214705651,0.346828778663655,0.636589478809861,57679,"ALS2"
"ENSG00000003400",7.60706755524723,-1.67692995273767,0.757086889503481,-2.21497687516085,0.0267616518132648,0.145933858167616,843,"CASP10"
